,datum,srazka,zavineni,alkohol,nasledek,prilba,pohlavi
31,2017/05/27 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
32,2017/06/20 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ano,muž
33,2017/06/24 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ano,muž
34,2017/06/25 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ano,žena
35,2017/07/18 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ano,muž
36,2017/10/28 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
37,2017/11/11 00:00:00+00,srážka s chodcem,řidičem nemotorového vozidla,Ne,bez zraněn,ano,muž
38,2017/12/22 00:00:00+00,jiný druh nehody,řidičem motorového vozidla,Ne,těžké zranění,ne,žena
39,2018/05/28 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ne,žena
40,2018/06/04 00:00:00+00,jiný druh nehody,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
41,2018/08/06 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ano,muž
42,2018/09/15 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ano,chlapec (do 15 let)
43,2019/03/03 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
44,2019/04/26 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,těžké zranění,ano,muž
45,2019/04/27 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ano,muž
46,2019/06/19 00:00:00+00,srážka s chodcem,chodcem,Ne,bez zraněn,ano,muž
47,2019/06/30 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Nezjišťován,lehké zranění,ano,žena
48,2019/07/16 00:00:00+00,srážka s pevnou překážkou,řidičem nemotorového vozidla,"Ano, obsah alkoholu v krvi 1,5‰ a více",lehké zranění,ne,muž
49,2019/09/26 00:00:00+00,srážka s pevnou překážkou,řidičem nemotorového vozidla,Ne,bez zraněn,ne,muž
50,2020/02/14 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ano,muž
51,2020/07/10 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ne,muž
52,2020/07/28 00:00:00+00,srážka s chodcem,řidičem nemotorového vozidla,Ne,bez zraněn,ne,muž
53,2020/07/29 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ano,žena
54,2010/07/05 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ne,muž
55,2010/10/19 00:00:00+00,srážka s tramvají,řidičem motorového vozidla,Ne,lehké zranění,ne,muž
56,2011/06/12 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ano,muž
57,2011/09/02 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,bez zraněn,ano,chlapec (do 15 let)
58,2012/10/08 00:00:00+00,jiný druh nehody,řidičem nemotorového vozidla,Ne,lehké zranění,ano,muž
59,2013/06/23 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
60,2013/07/25 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ne,muž
61,2014/06/27 00:00:00+00,jiný druh nehody,řidičem motorového vozidla,Nezjišťován,lehké zranění,ne,muž
62,2014/09/08 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
63,2014/09/22 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ne,muž
64,2016/05/21 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ano,chlapec (do 15 let)
65,2016/07/23 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ano,muž
66,2017/02/09 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ne,muž
67,2017/11/11 00:00:00+00,havárie,řidičem nemotorového vozidla,"Ano, obsah alkoholu v krvi od 0,5‰ do 0,8‰",lehké zranění,ne,muž
68,2018/05/01 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Nezjišťován,těžké zranění,ano,muž
69,2018/05/22 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
70,2018/05/27 00:00:00+00,srážka s pevnou překážkou,řidičem nemotorového vozidla,Ne,lehké zranění,ano,žena
71,2018/07/13 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ano,žena
72,2018/07/30 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ne,muž
73,2018/07/30 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,bez zraněn,ano,muž
74,2018/08/29 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Pod vlivem drog,těžké zranění,ano,muž
75,2019/02/19 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ne,žena
76,2019/05/24 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ne,muž
77,2019/08/09 00:00:00+00,havárie,řidičem nemotorového vozidla,Nezjišťován,lehké zranění,ano,chlapec (do 15 let)
78,2019/08/28 00:00:00+00,srážka s chodcem,chodcem,Ne,lehké zranění,ne,muž
79,2019/09/25 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ne,muž
80,2020/01/15 00:00:00+00,"srážka s vozidlem zaparkovaným, odstaveným",jiné zaviněn,Nezjišťován,lehké zranění,ne,muž
81,2020/03/28 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ne,muž
82,2020/04/14 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ne,žena
83,2020/08/16 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ano,muž
84,2010/07/08 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ano,muž
85,2010/08/11 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Nezjišťován,lehké zranění,ano,muž
86,2010/08/27 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,těžké zranění,ne,muž
87,2010/11/24 00:00:00+00,jiný druh nehody,technickou závadou vozidla,Nezjišťován,lehké zranění,ano,muž
88,2011/08/05 00:00:00+00,srážka s chodcem,řidičem nemotorového vozidla,"Ano, obsah alkoholu v krvi 1,5‰ a více",lehké zranění,ne,muž
89,2011/09/21 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ne,muž
90,2012/07/12 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
91,2012/07/19 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ne,muž
92,2012/07/24 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ano,muž
93,2012/07/24 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ano,žena
94,2013/05/19 00:00:00+00,srážka s pevnou překážkou,řidičem nemotorového vozidla,Ne,lehké zranění,ne,žena
95,2013/08/07 00:00:00+00,havárie,řidičem nemotorového vozidla,"Ano, obsah alkoholu v krvi 1,5‰ a více",lehké zranění,ne,muž
96,2013/08/15 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Nezjišťován,lehké zranění,ano,muž
97,2013/10/22 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ne,muž
98,2014/04/07 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Nezjišťován,lehké zranění,ne,žena
99,2014/06/12 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ne,chlapec (do 15 let)
100,2014/06/25 00:00:00+00,"srážka s vozidlem zaparkovaným, odstaveným",řidičem nemotorového vozidla,Nezjišťován,lehké zranění,ne,muž
101,2014/07/10 00:00:00+00,srážka s chodcem,řidičem nemotorového vozidla,Ne,bez zraněn,ano,muž
102,2014/08/22 00:00:00+00,jiný druh nehody,řidičem nemotorového vozidla,Ne,bez zraněn,ano,dívka (do 15 let)
103,2015/06/15 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,bez zraněn,ano,muž
104,2015/06/25 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,těžké zranění,ano,muž
105,2015/07/02 00:00:00+00,srážka s chodcem,řidičem nemotorového vozidla,Ne,bez zraněn,ano,muž
106,2015/07/12 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
107,2015/07/15 00:00:00+00,havárie,řidičem nemotorového vozidla,Nezjišťován,lehké zranění,ne,muž
108,2015/08/22 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ne,žena
109,2015/08/24 00:00:00+00,havárie,řidičem nemotorového vozidla,Nezjišťován,lehké zranění,ne,chlapec (do 15 let)
110,2016/06/14 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ne,žena
111,2017/01/11 00:00:00+00,srážka s chodcem,chodcem,Ne,lehké zranění,ano,muž
112,2017/01/18 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Nezjišťován,lehké zranění,ano,žena
113,2017/05/12 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ano,žena
114,2017/09/07 00:00:00+00,srážka s chodcem,chodcem,Ne,těžké zranění,ano,žena
115,2017/09/07 00:00:00+00,srážka s chodcem,chodcem,Ne,bez zraněn,ano,dívka (do 15 let)
116,2017/09/15 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
117,2018/07/05 00:00:00+00,havárie,řidičem nemotorového vozidla,"Ano, obsah alkoholu v krvi do 0,24 ‰",těžké zranění,ano,muž
118,2018/08/11 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ne,žena
119,2019/10/13 00:00:00+00,jiný druh nehody,řidičem nemotorového vozidla,Ne,lehké zranění,ne,žena
120,2020/01/21 00:00:00+00,srážka s chodcem,řidičem nemotorového vozidla,Ne,bez zraněn,ne,muž
121,2020/04/27 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ano,muž
122,2020/05/08 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ne,muž
123,2020/06/23 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ne,muž
124,2020/07/01 00:00:00+00,srážka s chodcem,chodcem,Ne,lehké zranění,ano,muž
125,2020/09/07 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,žena
126,2020/11/03 00:00:00+00,srážka s chodcem,řidičem nemotorového vozidla,Ne,lehké zranění,ano,muž
127,2020/11/27 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,žena
128,2010/05/22 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
129,2010/08/22 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ne,žena
130,2010/11/01 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ano,muž
131,2011/04/14 00:00:00+00,"srážka s vozidlem zaparkovaným, odstaveným",řidičem motorového vozidla,Nezjišťován,bez zraněn,ne,muž
132,2011/07/22 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,těžké zranění,ne,muž
133,2011/09/04 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ne,muž
134,2012/04/30 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
135,2012/05/20 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,žena
136,2012/06/25 00:00:00+00,jiný druh nehody,jiným účastníkem silničního provozu,Ne,lehké zranění,ne,muž
137,2012/08/27 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,bez zraněn,ne,chlapec (do 15 let)
138,2012/09/26 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ne,muž
139,2012/11/22 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
140,2013/04/20 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Nezjišťován,lehké zranění,ano,žena
141,2013/05/29 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
142,2013/07/26 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,"Ano, obsah alkoholu v krvi od 0,5‰ do 0,8‰",bez zraněn,ano,muž
143,2013/07/25 00:00:00+00,jiný druh nehody,řidičem nemotorového vozidla,Nezjišťován,lehké zranění,ano,muž
144,2013/07/25 00:00:00+00,jiný druh nehody,řidičem nemotorového vozidla,Nezjišťován,bez zraněn,ano,muž
145,2013/08/19 00:00:00+00,havárie,řidičem nemotorového vozidla,Nezjišťován,lehké zranění,ne,chlapec (do 15 let)
146,2013/12/13 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ne,muž
147,2014/03/06 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ne,muž
148,2014/07/17 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ne,muž
149,2014/09/04 00:00:00+00,srážka s chodcem,řidičem nemotorového vozidla,Ne,bez zraněn,ne,muž
150,2015/03/02 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,těžké zranění,ne,muž
151,2015/05/31 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ne,muž
152,2015/06/01 00:00:00+00,jiný druh nehody,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
153,2015/06/11 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ne,muž
154,2015/06/25 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ne,muž
155,2015/09/17 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ne,muž
156,2016/01/08 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
157,2016/02/12 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ano,muž
158,2016/03/06 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,bez zraněn,ano,muž
159,2016/03/06 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ne,muž
160,2016/04/04 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ne,muž
161,2016/05/14 00:00:00+00,havárie,řidičem nemotorového vozidla,"Ano, obsah alkoholu v krvi 1,5‰ a více",těžké zranění,ne,muž
162,2016/05/21 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ne,muž
163,2016/06/13 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,těžké zranění,ano,muž
164,2016/12/30 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
165,2017/04/08 00:00:00+00,havárie,řidičem nemotorového vozidla,"Ano, obsah alkoholu v krvi 1,5‰ a více",lehké zranění,ano,muž
166,2017/05/18 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ne,muž
167,2017/06/27 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
168,2017/07/23 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ano,žena
169,2017/07/31 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ne,muž
170,2017/08/26 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
171,2017/11/12 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,usmrcení,ne,muž
172,2018/06/16 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ano,žena
173,2018/07/25 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ne,žena
174,2018/09/16 00:00:00+00,jiný druh nehody,řidičem nemotorového vozidla,Ne,lehké zranění,ano,muž
175,2018/10/14 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ne,žena
176,2018/10/15 00:00:00+00,jiný druh nehody,řidičem nemotorového vozidla,"Ano, obsah alkoholu v krvi 1,5‰ a více",lehké zranění,ne,muž
177,2018/11/17 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,těžké zranění,ano,chlapec (do 15 let)
178,2019/05/04 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,těžké zranění,ano,muž
179,2019/05/04 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,bez zraněn,ne,muž
180,2019/05/23 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
181,2019/06/22 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ano,dívka (do 15 let)
182,2020/04/09 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ano,muž
183,2020/04/12 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ne,žena
184,2020/06/03 00:00:00+00,"srážka s vozidlem zaparkovaným, odstaveným",řidičem motorového vozidla,Ne,lehké zranění,ne,muž
185,2020/07/10 00:00:00+00,srážka s chodcem,řidičem nemotorového vozidla,Ne,bez zraněn,ne,muž
186,2020/07/22 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ne,muž
187,2020/11/17 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
188,2010/03/30 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Nezjišťován,lehké zranění,ano,muž
189,2010/04/26 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
190,2010/05/07 00:00:00+00,"srážka s vozidlem zaparkovaným, odstaveným",řidičem motorového vozidla,Nezjišťován,lehké zranění,ne,muž
191,2010/05/18 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ano,muž
192,2010/06/04 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ne,muž
193,2010/06/13 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,těžké zranění,ano,muž
194,2010/07/28 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,těžké zranění,ne,muž
195,2011/04/28 00:00:00+00,srážka s chodcem,řidičem nemotorového vozidla,Ne,bez zraněn,ano,muž
196,2011/07/14 00:00:00+00,havárie,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
197,2011/07/18 00:00:00+00,"srážka s vozidlem zaparkovaným, odstaveným",řidičem nemotorového vozidla,Nezjišťován,lehké zranění,ano,muž
198,2011/07/23 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ano,muž
199,2011/08/12 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ne,muž
200,2011/10/12 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ano,žena
201,2012/05/23 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
202,2012/06/25 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ne,muž
203,2012/07/11 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ano,muž
204,2012/07/24 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ano,muž
205,2012/11/14 00:00:00+00,srážka s chodcem,řidičem nemotorového vozidla,Ne,bez zraněn,ne,muž
206,2013/01/04 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
207,2013/01/04 00:00:00+00,jiný druh nehody,řidičem motorového vozidla,Ne,lehké zranění,ne,muž
208,2013/04/16 00:00:00+00,jiný druh nehody,řidičem motorového vozidla,Ne,bez zraněn,ano,dívka (do 15 let)
209,2013/05/19 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ne,muž
210,2013/05/22 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ne,muž
211,2013/07/10 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,těžké zranění,ne,muž
212,2013/07/29 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
213,2014/05/02 00:00:00+00,jiný druh nehody,řidičem motorového vozidla,Nezjišťován,lehké zranění,ne,muž
214,2014/07/17 00:00:00+00,jiný druh nehody,řidičem motorového vozidla,Nezjišťován,bez zraněn,ano,muž
215,2014/08/13 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,těžké zranění,ano,muž
